Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
26,CA-10025-0025,2021-11-05,2021-11-09,Second Class,CG-69275,Customer 25,Consumer,United States,Maryland City,Maryland,82369,East,OFF-3427,Furniture,Furnishings,Furnishings Item 33,10936.51,11,0.3,-3756.29
27,CA-10026-0026,2022-04-06,2022-04-09,First Class,CG-35351,Customer 26,Home Office,United States,Oregon City,Oregon,98668,West,OFF-1417,Technology,Phones,Phones Item 41,1366.08,2,0.0,167.77
28,CA-10027-0027,2020-02-17,2020-02-21,Second Class,CG-45735,Customer 27,Corporate,United States,Missouri City,Missouri,57295,Central,OFF-3786,Office Supplies,Appliances,Appliances Item 49,2178.24,10,0.1,339.47
29,CA-10028-0028,2020-10-24,2020-10-30,Standard Class,CG-60517,Customer 28,Home Office,United States,Missouri City,Missouri,76234,Central,OFF-8186,Office Supplies,Binders,Binders Item 49,422.16,7,0.2,6.45
30,CA-10029-0029,2020-03-30,2020-04-05,Standard Class,CG-99112,Customer 29,Home Office,United States,Tennessee City,Tennessee,21130,South,OFF-6588,Furniture,Chairs,Chairs Item 36,7145.44,5,0.0,722.05
31,CA-10030-0030,2022-04-24,2022-04-26,First Class,CG-87052,Customer 30,Consumer,United States,Utah City,Utah,54261,West,OFF-2542,Furniture,Bookcases,Bookcases Item 46,19424.89,13,0.0,2538.68
32,CA-10031-0031,2022-05-02,2022-05-04,First Class,CG-67854,Customer 31,Corporate,United States,Montana City,Montana,50262,West,OFF-5312,Office Supplies,Binders,Binders Item 45,959.43,13,0.0,305.0
33,CA-10032-0032,2021-05-25,2021-05-31,Standard Class,CG-40355,Customer 32,Home Office,United States,Tennessee City,Tennessee,65771,South,OFF-9647,Office Supplies,Art,Art Item 41,235.12,3,0.0,75.75
34,CA-10033-0033,2022-10-24,2022-10-29,Standard Class,CG-32700,Customer 33,Corporate,United States,Texas City,Texas,44620,Central,OFF-5910,Technology,Phones,Phones Item 21,13879.23,12,0.6,-11044.33
35,CA-10034-0034,2022-11-26,2022-12-01,Standard Class,CG-17114,Customer 34,Consumer,United States,Louisiana City,Louisiana,88859,South,OFF-2353,Furniture,Bookcases,Bookcases Item 32,3894.98,5,0.2,-499.19
36,CA-10035-0035,2022-10-03,2022-10-09,Standard Class,CG-14835,Customer 35,Consumer,United States,Arkansas City,Arkansas,30159,South,OFF-7042,Office Supplies,Art,Art Item 17,1310.87,12,0.0,281.73
37,CA-10036-0036,2021-07-13,2021-07-16,Second Class,CG-33793,Customer 36,Consumer,United States,California City,California,66570,West,OFF-6124,Furniture,Furnishings,Furnishings Item 33,5494.07,5,0.2,-906.45
38,CA-10037-0037,2021-05-02,2021-05-08,Standard Class,CG-85880,Customer 37,Home Office,United States,New York City,New York,18702,East,OFF-1384,Office Supplies,Fasteners,Fasteners Item 21,3784.62,13,0.0,921.12
39,CA-10038-0038,2021-02-09,2021-02-14,Standard Class,CG-55106,Customer 38,Consumer,United States,Mississippi City,Mississippi,63932,South,OFF-1716,Office Supplies,Art,Art Item 4,657.62,3,0.0,129.3
40,CA-10039-0039,2021-12-31,2022-01-05,Standard Class,CG-52944,Customer 39,Corporate,United States,New York City,New York,83963,East,OFF-9580,Furniture,Furnishings,Furnishings Item 30,11369.97,11,0.0,1056.05
41,CA-10040-0040,2022-05-15,2022-05-20,Standard Class,CG-83553,Customer 40,Home Office,United States,Ohio City,Ohio,16941,East,OFF-8002,Furniture,Chairs,Chairs Item 34,4612.03,6,0.2,-909.94
42,CA-10041-0041,2021-01-28,2021-02-03,Standard Class,CG-29963,Customer 41,Home Office,United States,Florida City,Florida,65123,South,OFF-5164,Office Supplies,Binders,Binders Item 34,1596.61,8,0.3,-300.13
43,CA-10042-0042,2019-04-21,2019-04-24,Second Class,CG-93807,Customer 42,Corporate,United States,Massachusetts City,Massachusetts,43434,East,OFF-5188,Office Supplies,Appliances,Appliances Item 32,1420.05,8,0.0,301.59
44,CA-10043-0043,2020-08-26,2020-08-29,First Class,CG-61745,Customer 43,Home Office,United States,Massachusetts City,Massachusetts,91818,East,OFF-8240,Office Supplies,Storage,Storage Item 26,280.51,9,0.0,93.6
45,CA-10044-0044,2019-02-17,2019-02-22,Standard Class,CG-18717,Customer 44,Corporate,United States,Idaho City,Idaho,38699,West,OFF-9150,Office Supplies,Labels,Labels Item 14,783.45,3,0.0,174.42
46,CA-10045-0045,2021-06-01,2021-06-06,Standard Class,CG-98869,Customer 45,Corporate,United States,North Carolina City,North Carolina,44674,South,OFF-4086,Furniture,Tables,Tables Item 25,12669.3,12,0.0,489.0
47,CA-10046-0046,2019-03-27,2019-03-30,First Class,CG-36734,Customer 46,Consumer,United States,Wisconsin City,Wisconsin,16371,Central,OFF-5206,Office Supplies,Labels,Labels Item 22,531.35,9,0.2,-26.78
48,CA-10047-0047,2020-09-04,2020-09-10,Standard Class,CG-13812,Customer 47,Home Office,United States,New Jersey City,New Jersey,38024,East,OFF-2460,Furniture,Furnishings,Furnishings Item 22,5973.0,11,0.6,-4336.41
49,CA-10048-0048,2019-12-16,2019-12-21,Standard Class,CG-97886,Customer 48,Corporate,United States,Colorado City,Colorado,10117,West,OFF-3551,Office Supplies,Labels,Labels Item 38,1622.29,8,0.2,-16.43
50,CA-10049-0049,2022-12-29,2023-01-03,Standard Class,CG-55587,Customer 49,Home Office,United States,Nebraska City,Nebraska,46976,Central,OFF-7283,Office Supplies,Labels,Labels Item 47,180.53,3,0.0,46.44
51,CA-10050-0050,2021-04-24,2021-04-26,First Class,CG-73076,Customer 50,Home Office,United States,Colorado City,Colorado,29216,West,OFF-3824,Furniture,Tables,Tables Item 11,4616.57,5,0.0,322.71
52,CA-10051-0051,2019-11-14,2019-11-20,Standard Class,CG-83698,Customer 51,Home Office,United States,Kansas City,Kansas,15415,Central,OFF-4391,Office Supplies,Labels,Labels Item 22,375.01,9,0.0,108.01
53,CA-10052-0052,2019-09-27,2019-10-01,Second Class,CG-92985,Customer 52,Home Office,United States,Arkansas City,Arkansas,94056,South,OFF-7943,Furniture,Furnishings,Furnishings Item 38,2749.04,11,0.2,-587.48
54,CA-10053-0053,2022-06-02,2022-06-07,Standard Class,CG-51157,Customer 53,Consumer,United States,Utah City,Utah,64917,West,OFF-2202,Technology,Machines,Machines Item 8,7355.05,3,0.1,591.39
55,CA-10054-0054,2020-04-22,2020-04-27,Standard Class,CG-53872,Customer 54,Consumer,United States,Maryland City,Maryland,56197,East,OFF-7028,Technology,Machines,Machines Item 31,29504.66,13,0.0,8128.2
56,CA-10055-0055,2022-07-08,2022-07-11,Second Class,CG-81315,Customer 55,Home Office,United States,Missouri City,Missouri,87834,Central,OFF-7166,Furniture,Furnishings,Furnishings Item 47,973.29,3,0.2,-175.09
57,CA-10056-0056,2021-08-15,2021-08-21,Standard Class,CG-65176,Customer 56,Corporate,United States,Connecticut City,Connecticut,96066,East,OFF-8196,Technology,Copiers,Copiers Item 14,31473.19,12,0.0,5346.28
58,CA-10057-0057,2022-11-29,2022-12-05,Standard Class,CG-73374,Customer 57,Home Office,United States,Florida City,Florida,78244,South,OFF-8112,Office Supplies,Storage,Storage Item 9,225.59,6,0.1,37.24
59,CA-10058-0058,2020-07-28,2020-08-03,Standard Class,CG-51914,Customer 58,Corporate,United States,Virginia City,Virginia,80507,East,OFF-2205,Furniture,Chairs,Chairs Item 24,1517.58,2,0.1,-63.64
60,CA-10059-0059,2019-03-04,2019-03-09,Standard Class,CG-29816,Customer 59,Consumer,United States,Utah City,Utah,59840,West,OFF-5243,Office Supplies,Appliances,Appliances Item 22,24.82,7,0.6,-15.17
61,CA-10060-0060,2022-03-10,2022-03-16,Standard Class,CG-99106,Customer 60,Consumer,United States,Mississippi City,Mississippi,28449,South,OFF-1768,Furniture,Furnishings,Furnishings Item 14,11907.42,13,0.2,-1734.85
62,CA-10061-0061,2021-08-04,2021-08-09,Standard Class,CG-85629,Customer 61,Consumer,United States,Illinois City,Illinois,62603,Central,OFF-1054,Office Supplies,Envelopes,Envelopes Item 28,310.91,3,0.0,71.59
63,CA-10062-0062,2020-03-18,2020-03-23,Standard Class,CG-83506,Customer 62,Consumer,United States,North Carolina City,North Carolina,44911,South,OFF-6207,Technology,Phones,Phones Item 14,4337.55,3,0.4,-1362.72
64,CA-10063-0063,2021-06-28,2021-07-03,Standard Class,CG-63394,Customer 63,Consumer,United States,Arkansas City,Arkansas,30079,South,OFF-4452,Office Supplies,Storage,Storage Item 19,30.64,1,0.0,8.34
65,CA-10064-0064,2021-01-15,2021-01-17,First Class,CG-72516,Customer 64,Consumer,United States,Alabama City,Alabama,17083,South,OFF-6986,Office Supplies,Paper,Paper Item 22,895.69,5,0.0,195.83
66,CA-10065-0065,2019-05-08,2019-05-14,Standard Class,CG-70774,Customer 65,Corporate,United States,Arkansas City,Arkansas,33752,South,OFF-6877,Furniture,Tables,Tables Item 22,4376.34,8,0.2,-601.39
67,CA-10066-0066,2021-03-15,2021-03-20,Standard Class,CG-88411,Customer 66,Consumer,United States,Missouri City,Missouri,11622,Central,OFF-9041,Office Supplies,Paper,Paper Item 22,1451.25,9,0.0,508.34
68,CA-10067-0067,2019-09-25,2019-09-30,Standard Class,CG-39373,Customer 67,Home Office,United States,Idaho City,Idaho,46397,West,OFF-5225,Technology,Accessories,Accessories Item 43,24727.64,10,0.1,2123.6
69,CA-10068-0068,2019-05-29,2019-06-03,Standard Class,CG-78247,Customer 68,Home Office,United States,Oregon City,Oregon,14853,West,OFF-7212,Furniture,Furnishings,Furnishings Item 33,2743.69,7,0.2,-566.26
70,CA-10069-0069,2021-08-15,2021-08-20,Standard Class,CG-45111,Customer 69,Home Office,United States,Virginia City,Virginia,47904,East,OFF-6760,Technology,Copiers,Copiers Item 25,11620.96,5,0.0,2646.76
71,CA-10070-0070,2022-06-06,2022-06-12,Standard Class,CG-67134,Customer 70,Home Office,United States,Montana City,Montana,30491,West,OFF-2341,Office Supplies,Binders,Binders Item 16,255.85,3,0.0,72.45
72,CA-10071-0071,2020-01-09,2020-01-13,Second Class,CG-37935,Customer 71,Consumer,United States,Georgia City,Georgia,47641,South,OFF-5806,Technology,Phones,Phones Item 17,6572.74,11,0.6,-4268.95
73,CA-10072-0072,2020-09-20,2020-09-25,Standard Class,CG-76150,Customer 72,Home Office,United States,Wisconsin City,Wisconsin,97312,Central,OFF-8693,Office Supplies,Paper,Paper Item 31,1360.71,7,0.3,-179.84
74,CA-10073-0073,2021-07-24,2021-07-28,Second Class,CG-25317,Customer 73,Home Office,United States,Georgia City,Georgia,17564,South,OFF-9684,Furniture,Tables,Tables Item 42,998.25,1,0.1,-185.3
75,CA-10074-0074,2020-02-18,2020-02-20,First Class,CG-93691,Customer 74,Home Office,United States,Louisiana City,Louisiana,68606,South,OFF-5361,Office Supplies,Labels,Labels Item 30,483.11,3,0.0,183.53
76,CA-10075-0075,2022-12-23,2022-12-29,Standard Class,CG-45400,Customer 75,Corporate,United States,Utah City,Utah,14494,West,OFF-9056,Furniture,Chairs,Chairs Item 24,2508.72,5,0.0,169.29
77,CA-10076-0076,2021-07-27,2021-07-31,Second Class,CG-91470,Customer 76,Consumer,United States,Tennessee City,Tennessee,48197,South,OFF-4564,Technology,Accessories,Accessories Item 46,18723.93,11,0.4,-7629.24
78,CA-10077-0077,2020-05-20,2020-05-25,Standard Class,CG-86898,Customer 77,Corporate,United States,Ohio City,Ohio,72483,East,OFF-2913,Office Supplies,Binders,Binders Item 49,1013.15,7,0.4,-388.01
79,CA-10078-0078,2019-01-03,2019-01-05,Same Day,CG-93560,Customer 78,Corporate,United States,Oregon City,Oregon,33874,West,OFF-2218,Office Supplies,Paper,Paper Item 25,1529.01,9,0.1,88.67
80,CA-10079-0079,2022-07-08,2022-07-11,Second Class,CG-80831,Customer 79,Home Office,United States,Virginia City,Virginia,51873,East,OFF-9228,Office Supplies,Binders,Binders Item 48,803.16,8,0.2,-33.54
81,CA-10080-0080,2019-08-12,2019-08-18,Standard Class,CG-96231,Customer 80,Corporate,United States,Arizona City,Arizona,17314,West,OFF-3383,Furniture,Chairs,Chairs Item 40,1658.19,2,0.1,-48.97
82,CA-10081-0081,2020-07-10,2020-07-15,Standard Class,CG-58874,Customer 81,Consumer,United States,Florida City,Florida,59708,South,OFF-3808,Technology,Machines,Machines Item 31,25344.27,12,0.0,5877.3
83,CA-10082-0082,2022-07-05,2022-07-11,Standard Class,CG-41966,Customer 82,Home Office,United States,Wisconsin City,Wisconsin,82545,Central,OFF-5543,Office Supplies,Labels,Labels Item 24,845.66,13,0.2,-41.24
84,CA-10083-0083,2022-06-10,2022-06-16,Standard Class,CG-23507,Customer 83,Corporate,United States,Oregon City,Oregon,82595,West,OFF-2887,Office Supplies,Storage,Storage Item 36,603.42,5,0.0,153.57
85,CA-10084-0084,2020-02-05,2020-02-09,Second Class,CG-37083,Customer 84,Consumer,United States,Virginia City,Virginia,97046,East,OFF-9220,Technology,Copiers,Copiers Item 11,378.49,2,0.3,-105.2
86,CA-10085-0085,2022-12-24,2022-12-30,Standard Class,CG-85932,Customer 85,Home Office,United States,Colorado City,Colorado,27482,West,OFF-8027,Technology,Machines,Machines Item 32,8704.03,7,0.1,599.36
87,CA-10086-0086,2021-04-28,2021-05-04,Standard Class,CG-15626,Customer 86,Corporate,United States,New Jersey City,New Jersey,17424,East,OFF-1933,Office Supplies,Art,Art Item 15,530.16,5,0.2,-66.95
88,CA-10087-0087,2022-07-18,2022-07-22,Second Class,CG-18711,Customer 87,Consumer,United States,Massachusetts City,Massachusetts,84318,East,OFF-2050,Technology,Copiers,Copiers Item 46,597.3,1,0.0,98.8
89,CA-10088-0088,2020-11-23,2020-11-29,Standard Class,CG-61027,Customer 88,Consumer,United States,Virginia City,Virginia,44531,East,OFF-9712,Technology,Machines,Machines Item 38,21598.07,9,0.0,6088.62
90,CA-10089-0089,2020-01-21,2020-01-27,Standard Class,CG-40015,Customer 89,Corporate,United States,Florida City,Florida,39009,South,OFF-2389,Technology,Accessories,Accessories Item 47,2456.31,5,0.0,675.61
91,CA-10090-0090,2019-04-12,2019-04-14,First Class,CG-58787,Customer 90,Consumer,United States,Minnesota City,Minnesota,45488,Central,OFF-9905,Technology,Phones,Phones Item 40,359.54,1,0.0,66.1
92,CA-10091-0091,2020-08-11,2020-08-17,Standard Class,CG-91905,Customer 91,Consumer,United States,North Carolina City,North Carolina,78577,South,OFF-1105,Furniture,Tables,Tables Item 44,4704.62,10,0.2,-929.73
93,CA-10092-0092,2019-01-09,2019-01-12,First Class,CG-23629,Customer 92,Home Office,United States,Montana City,Montana,71550,West,OFF-9442,Technology,Phones,Phones Item 7,7825.15,12,0.3,-1606.04
94,CA-10093-0093,2020-05-29,2020-06-03,Standard Class,CG-11560,Customer 93,Corporate,United States,Missouri City,Missouri,89148,Central,OFF-2266,Office Supplies,Paper,Paper Item 19,1192.42,6,0.1,157.11
95,CA-10094-0094,2020-11-25,2020-11-29,Second Class,CG-70315,Customer 94,Consumer,United States,Missouri City,Missouri,89561,Central,OFF-9946,Furniture,Furnishings,Furnishings Item 35,4724.63,6,0.0,356.78
96,CA-10095-0095,2021-05-11,2021-05-13,First Class,CG-49443,Customer 95,Consumer,United States,Colorado City,Colorado,49063,West,OFF-2712,Technology,Machines,Machines Item 32,4176.66,4,0.2,228.47
97,CA-10096-0096,2020-07-31,2020-08-05,Standard Class,CG-94878,Customer 96,Corporate,United States,Nevada City,Nevada,67056,West,OFF-4591,Office Supplies,Appliances,Appliances Item 36,388.22,3,0.0,72.26
98,CA-10097-0097,2020-01-10,2020-01-11,Same Day,CG-80135,Customer 97,Corporate,United States,Louisiana City,Louisiana,45046,South,OFF-4155,Technology,Accessories,Accessories Item 2,8416.78,12,0.1,-230.95
99,CA-10098-0098,2019-03-07,2019-03-08,Same Day,CG-62233,Customer 98,Consumer,United States,Minnesota City,Minnesota,54738,Central,OFF-1629,Furniture,Bookcases,Bookcases Item 14,8100.53,8,0.0,499.42
100,CA-10099-0099,2019-05-13,2019-05-19,Standard Class,CG-95112,Customer 99,Corporate,United States,North Carolina City,North Carolina,45946,South,OFF-7052,Furniture,Tables,Tables Item 47,5488.77,6,0.0,340.26
101,CA-10100-0100,2020-09-11,2020-09-13,First Class,CG-39856,Customer 100,Home Office,United States,Arizona City,Arizona,19200,West,OFF-2229,Furniture,Chairs,Chairs Item 12,597.31,5,0.5,-366.37
102,CA-10101-0101,2019-08-05,2019-08-11,Standard Class,CG-89141,Customer 101,Home Office,United States,Virginia City,Virginia,22115,East,OFF-7294,Furniture,Tables,Tables Item 45,14471.81,11,0.1,-782.0
103,CA-10102-0102,2022-09-26,2022-10-01,Standard Class,CG-38625,Customer 102,Home Office,United States,Arkansas City,Arkansas,91040,South,OFF-8705,Office Supplies,Paper,Paper Item 8,306.41,6,0.0,75.03
104,CA-10103-0103,2021-03-24,2021-03-27,First Class,CG-36984,Customer 103,Home Office,United States,Kansas City,Kansas,18125,Central,OFF-4291,Furniture,Furnishings,Furnishings Item 2,4162.6,5,0.2,-838.1
105,CA-10104-0104,2022-01-17,2022-01-20,First Class,CG-14114,Customer 104,Consumer,United States,Maryland City,Maryland,74965,East,OFF-4553,Office Supplies,Labels,Labels Item 18,244.03,11,0.3,-69.36
106,CA-10105-0105,2022-09-29,2022-10-02,First Class,CG-19108,Customer 105,Consumer,United States,Idaho City,Idaho,87714,West,OFF-3875,Technology,Machines,Machines Item 29,9672.27,12,0.2,-1418.79
107,CA-10106-0106,2019-04-12,2019-04-18,Standard Class,CG-45631,Customer 106,Consumer,United States,California City,California,41348,West,OFF-2177,Furniture,Furnishings,Furnishings Item 25,1644.53,2,0.1,-1.5
108,CA-10107-0107,2021-02-21,2021-02-26,Standard Class,CG-34596,Customer 107,Consumer,United States,Alabama City,Alabama,43174,South,OFF-5431,Office Supplies,Fasteners,Fasteners Item 47,2423.82,11,0.1,203.02
109,CA-10108-0108,2019-05-21,2019-05-27,Standard Class,CG-41010,Customer 108,Home Office,United States,Idaho City,Idaho,64691,West,OFF-7787,Technology,Machines,Machines Item 26,9355.94,5,0.0,2325.37
110,CA-10109-0109,2019-06-08,2019-06-11,Second Class,CG-22149,Customer 109,Corporate,United States,Utah City,Utah,69189,West,OFF-6291,Technology,Copiers,Copiers Item 45,2385.7,8,0.5,-1385.79
111,CA-10110-0110,2022-07-24,2022-07-28,Second Class,CG-44084,Customer 110,Home Office,United States,New Jersey City,New Jersey,65826,East,OFF-4683,Technology,Phones,Phones Item 39,14093.91,8,0.1,-171.85
112,CA-10111-0111,2019-08-30,2019-09-04,Standard Class,CG-51621,Customer 111,Corporate,United States,New York City,New York,87231,East,OFF-3852,Office Supplies,Storage,Storage Item 15,1400.98,7,0.1,91.56
113,CA-10112-0112,2020-05-23,2020-05-28,Standard Class,CG-65754,Customer 112,Consumer,United States,Indiana City,Indiana,72438,Central,OFF-3349,Technology,Accessories,Accessories Item 19,1809.99,5,0.2,-350.07
114,CA-10113-0113,2019-02-05,2019-02-09,Second Class,CG-78008,Customer 113,Home Office,United States,North Carolina City,North Carolina,82240,South,OFF-4713,Office Supplies,Paper,Paper Item 5,180.75,1,0.0,27.35
115,CA-10114-0114,2019-03-08,2019-03-14,Standard Class,CG-19686,Customer 114,Corporate,United States,Georgia City,Georgia,63363,South,OFF-1661,Furniture,Furnishings,Furnishings Item 44,244.67,2,0.7,-223.93
116,CA-10115-0115,2021-10-13,2021-10-16,Second Class,CG-30103,Customer 115,Consumer,United States,Virginia City,Virginia,49891,East,OFF-2679,Furniture,Chairs,Chairs Item 30,10090.5,12,0.0,1991.13
117,CA-10116-0116,2022-06-25,2022-06-27,Same Day,CG-86559,Customer 116,Corporate,United States,Utah City,Utah,20699,West,OFF-3785,Technology,Copiers,Copiers Item 14,1944.85,6,0.0,337.68
118,CA-10117-0117,2019-12-07,2019-12-13,Standard Class,CG-28073,Customer 117,Consumer,United States,Florida City,Florida,46035,South,OFF-5406,Technology,Accessories,Accessories Item 6,3805.19,4,0.0,829.85
119,CA-10118-0118,2019-09-01,2019-09-07,Standard Class,CG-50461,Customer 118,Corporate,United States,Minnesota City,Minnesota,83800,Central,OFF-8842,Technology,Machines,Machines Item 2,21348.75,13,0.0,4876.53
120,CA-10119-0119,2019-09-23,2019-09-24,Same Day,CG-47685,Customer 119,Corporate,United States,Illinois City,Illinois,83965,Central,OFF-3530,Technology,Accessories,Accessories Item 41,780.4,1,0.2,-54.64
121,CA-10120-0120,2021-09-20,2021-09-26,Standard Class,CG-65099,Customer 120,Corporate,United States,New York City,New York,45262,East,OFF-3719,Furniture,Chairs,Chairs Item 29,3263.23,12,0.0,-144.93
122,CA-10121-0121,2021-02-16,2021-02-21,Standard Class,CG-47846,Customer 121,Home Office,United States,Illinois City,Illinois,69474,Central,OFF-6448,Technology,Machines,Machines Item 28,1763.62,8,0.0,378.58
123,CA-10122-0122,2021-02-23,2021-02-28,Standard Class,CG-67022,Customer 122,Consumer,United States,Connecticut City,Connecticut,81229,East,OFF-1767,Technology,Machines,Machines Item 35,15880.14,12,0.3,-3273.63
124,CA-10123-0123,2020-05-24,2020-05-29,Standard Class,CG-15542,Customer 123,Consumer,United States,Minnesota City,Minnesota,70428,Central,OFF-7356,Office Supplies,Labels,Labels Item 26,587.99,5,0.2,-9.6
125,CA-10124-0124,2020-11-02,2020-11-08,Standard Class,CG-35121,Customer 124,Corporate,United States,Massachusetts City,Massachusetts,47487,East,OFF-1593,Furniture,Chairs,Chairs Item 40,2125.9,5,0.3,-746.97
126,CA-10125-0125,2019-01-21,2019-01-27,Standard Class,CG-74641,Customer 125,Consumer,United States,Nebraska City,Nebraska,59723,Central,OFF-4631,Furniture,Furnishings,Furnishings Item 29,6060.42,9,0.5,-4222.07
127,CA-10126-0126,2021-01-28,2021-01-31,First Class,CG-40111,Customer 126,Consumer,United States,Washington City,Washington,73936,West,OFF-7230,Office Supplies,Fasteners,Fasteners Item 37,137.79,1,0.0,26.24
